id,question,choices,answerKey,choices_dic,subject,gen_init_answer,disc_answer,gen_answer,disc_init_answer,disc_final_policy_consensus,disc_init_policy,gen_init_policy,gen_final_policy_consensus
Mercury_417466,Which statement best explains why photosynthesis is the foundation of most food webs?,"['Sunlight is the source of energy for nearly all ecosystems.'
 'Most ecosystems are found on land instead of in water.'
 'Carbon dioxide is more available than other gases.'
 'The producers in all ecosystems are plants.']",A,"{'text': array(['Sunlight is the source of energy for nearly all ecosystems.',
       'Most ecosystems are found on land instead of in water.',
       'Carbon dioxide is more available than other gases.',
       'The producers in all ecosystems are plants.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,A,A,A,D,"{'A': {'correct': 0.2554004553491291, 'incorrect': 0.2487022663148648}, 'B': {'correct': 0.24852783149830726, 'incorrect': 0.2507201039921994}, 'C': {'correct': 0.24637548323467817, 'incorrect': 0.24885148165563897}, 'D': {'correct': 0.2496962299178855, 'incorrect': 0.25172614803729687}}","{'A': {'correct': 0.20181322, 'incorrect': 0.7981868}, 'B': {'correct': 0.1384618, 'incorrect': 0.86153823}, 'C': {'correct': 0.14414886, 'incorrect': 0.8558512}, 'D': {'correct': 0.24798743, 'incorrect': 0.7520126}}","{'correct': {'A': 0.6468505, 'B': 0.18174124, 'C': 0.014124297, 'D': 0.15728395}, 'incorrect': {'A': 0.15268698, 'B': 0.29431188, 'C': 0.14915001, 'D': 0.40385112}}","{'correct': {'A': 0.2544399407953766, 'B': 0.25025605005990725, 'C': 0.24400999893730196, 'D': 0.2512940102074142}, 'incorrect': {'A': 0.24873520700723703, 'B': 0.25120683394431964, 'C': 0.24939282076995864, 'D': 0.25066513827848463}}"
Mercury_7081673,Which piece of safety equipment is used to keep mold spores from entering the respiratory system?,['safety goggles' 'breathing mask' 'rubber gloves' 'lead apron'],B,"{'text': array(['safety goggles', 'breathing mask', 'rubber gloves', 'lead apron'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,A,"{'A': {'correct': 0.24800713418183623, 'incorrect': 0.2482666480691408}, 'B': {'correct': 0.25941011185744234, 'incorrect': 0.24896339503149498}, 'C': {'correct': 0.2468439008184046, 'incorrect': 0.24851593882524756}, 'D': {'correct': 0.24573885314231678, 'incorrect': 0.25425401807411663}}","{'A': {'correct': 0.4765797, 'incorrect': 0.5234204}, 'B': {'correct': 0.45326182, 'incorrect': 0.54673815}, 'C': {'correct': 0.40733343, 'incorrect': 0.5926666}, 'D': {'correct': 0.2509128, 'incorrect': 0.7490872}}","{'correct': {'A': 0.04574314, 'B': 0.944245, 'C': 0.0026315504, 'D': 0.0073803654}, 'incorrect': {'A': 0.14188851, 'B': 0.18723889, 'C': 0.13539097, 'D': 0.53548163}}","{'correct': {'A': 0.2518687235427982, 'B': 0.2596088049665768, 'C': 0.24397748470487765, 'D': 0.24454498678574735}, 'incorrect': {'A': 0.2479919580841485, 'B': 0.24898285858918112, 'C': 0.2487356404959519, 'D': 0.25428954283071853}}"
Mercury_7239733,Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?,['brain cells' 'bone cells' 'muscle cells' 'ovary cells'],D,"{'text': array(['brain cells', 'bone cells', 'muscle cells', 'ovary cells'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24723337501771275, 'incorrect': 0.2509156649039686}, 'B': {'correct': 0.24684709530633475, 'incorrect': 0.2514292523606472}, 'C': {'correct': 0.24652558613087622, 'incorrect': 0.24848892629734862}, 'D': {'correct': 0.2593939435450762, 'incorrect': 0.24916615643803552}}","{'A': {'correct': 0.3702254, 'incorrect': 0.62977463}, 'B': {'correct': 0.3522018, 'incorrect': 0.64779824}, 'C': {'correct': 0.3242354, 'incorrect': 0.6757646}, 'D': {'correct': 0.43014735, 'incorrect': 0.56985265}}","{'correct': {'A': 0.030763999, 'B': 0.014531883, 'C': 0.008814033, 'D': 0.94589007}, 'incorrect': {'A': 0.321833, 'B': 0.35623667, 'C': 0.11656018, 'D': 0.20537017}}","{'correct': {'A': 0.24899044375297666, 'B': 0.2469167992427831, 'C': 0.2453482386757302, 'D': 0.2587445183285101}, 'incorrect': {'A': 0.2508588835482728, 'B': 0.2513517455182937, 'C': 0.24883847469968873, 'D': 0.2489508962337448}}"
NYSEDREGENTS_2015_4_8,Which characteristic describes the texture of a kitten's fur?,['gray' 'warm' 'long' 'soft'],D,"{'text': array(['gray', 'warm', 'long', 'soft'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24647382395718656, 'incorrect': 0.2489884883122117}, 'B': {'correct': 0.2458492349813354, 'incorrect': 0.25279210507680366}, 'C': {'correct': 0.24691777366877624, 'incorrect': 0.24880055199553663}, 'D': {'correct': 0.26075916739270183, 'incorrect': 0.24941885461544794}}","{'A': {'correct': 0.42250463, 'incorrect': 0.57749534}, 'B': {'correct': 0.33111975, 'incorrect': 0.6688803}, 'C': {'correct': 0.53509843, 'incorrect': 0.46490157}, 'D': {'correct': 0.6893056, 'incorrect': 0.3106944}}","{'correct': {'A': 0.0025855321, 'B': 0.0027043275, 'C': 0.00036958256, 'D': 0.99434054}, 'incorrect': {'A': 0.13512845, 'B': 0.40184626, 'C': 0.16556284, 'D': 0.29746255}}","{'correct': {'A': 0.2463626299912356, 'B': 0.24534054496677207, 'C': 0.24302942338423816, 'D': 0.2652674016577542}, 'incorrect': {'A': 0.249562099799136, 'B': 0.2535351713594904, 'C': 0.24866902514185227, 'D': 0.24823370369952139}}"
Mercury_7037258,Which best describes the structure of an atom?,"['a lightweight core surrounded by neutral particles'
 'a massive core surrounded by negatively-charged particles'
 'a network of interacting positive and negative particles'
 'overlapping layers of neutral, positive, and negative particles']",B,"{'text': array(['a lightweight core surrounded by neutral particles',
       'a massive core surrounded by negatively-charged particles',
       'a network of interacting positive and negative particles',
       'overlapping layers of neutral, positive, and negative particles'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,A,"{'A': {'correct': 0.24797131239008546, 'incorrect': 0.2502322283174982}, 'B': {'correct': 0.2547531237969868, 'incorrect': 0.2516861592044657}, 'C': {'correct': 0.2471162067576024, 'incorrect': 0.24809019796978174}, 'D': {'correct': 0.2501593570553254, 'incorrect': 0.2499914145082543}}","{'A': {'correct': 0.41111085, 'incorrect': 0.5888891}, 'B': {'correct': 0.39606813, 'incorrect': 0.6039318}, 'C': {'correct': 0.38491216, 'incorrect': 0.61508787}, 'D': {'correct': 0.3415825, 'incorrect': 0.6584175}}","{'correct': {'A': 0.07543773, 'B': 0.61459523, 'C': 0.026377894, 'D': 0.28358912}, 'incorrect': {'A': 0.2775642, 'B': 0.38686797, 'C': 0.10092054, 'D': 0.23464727}}","{'correct': {'A': 0.24879558694347342, 'B': 0.2540462129143659, 'C': 0.24587600877251314, 'D': 0.2512821913696476}, 'incorrect': {'A': 0.25018614601196787, 'B': 0.25124334482520705, 'C': 0.24794691028122784, 'D': 0.2506235988815972}}"
CSZ20679,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the",['meter.' 'kilometer.' 'light-year.' 'astronomical unit.'],C,"{'text': array(['meter.', 'kilometer.', 'light-year.', 'astronomical unit.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24672034771412282, 'incorrect': 0.24992597601443303}, 'B': {'correct': 0.2471030639816863, 'incorrect': 0.24931900462073234}, 'C': {'correct': 0.2608134816154069, 'incorrect': 0.24746025465780622}, 'D': {'correct': 0.24536310668878386, 'incorrect': 0.25329476470702844}}","{'A': {'correct': 0.1480472, 'incorrect': 0.85195273}, 'B': {'correct': 0.22815649, 'incorrect': 0.7718435}, 'C': {'correct': 0.41489884, 'incorrect': 0.5851011}, 'D': {'correct': 0.105210535, 'incorrect': 0.89478946}}","{'correct': {'A': 0.04735281, 'B': 0.0045199688, 'C': 0.934534, 'D': 0.013593331}, 'incorrect': {'A': 0.22094855, 'B': 0.19498639, 'C': 0.10895103, 'D': 0.475114}}","{'correct': {'A': 0.2492556478298662, 'B': 0.24450751554666483, 'C': 0.260604719632784, 'D': 0.24563211699068502}, 'incorrect': {'A': 0.25096572546523616, 'B': 0.24964448477735993, 'C': 0.24586922870759229, 'D': 0.25352056104981174}}"
Mercury_182158,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?,"['wash hands' 'turn off all equipment' 'put away all glassware'
 'wash instruments and table tops']",A,"{'text': array(['wash hands', 'turn off all equipment', 'put away all glassware',
       'wash instruments and table tops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24792300416915317, 'incorrect': 0.24875822626472982}, 'B': {'correct': 0.2545622921677881, 'incorrect': 0.25195300461234804}, 'C': {'correct': 0.24872995086020883, 'incorrect': 0.24904507386315525}, 'D': {'correct': 0.24878475280284995, 'incorrect': 0.25024369525976686}}","{'A': {'correct': 0.51952136, 'incorrect': 0.4804787}, 'B': {'correct': 0.5660185, 'incorrect': 0.43398148}, 'C': {'correct': 0.5389832, 'incorrect': 0.46101677}, 'D': {'correct': 0.5039062, 'incorrect': 0.49609384}}","{'correct': {'A': 0.09236779, 'B': 0.5952965, 'C': 0.14702787, 'D': 0.16530786}, 'incorrect': {'A': 0.14664802, 'B': 0.41939643, 'C': 0.17758363, 'D': 0.25637192}}","{'correct': {'A': 0.2479777412593306, 'B': 0.2533902755521849, 'C': 0.24938690304643626, 'D': 0.24924508014204824}, 'incorrect': {'A': 0.2490024301268466, 'B': 0.25113000057252133, 'C': 0.24924358362134044, 'D': 0.25062398567929156}}"
Mercury_7216668,Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?,['meters' 'centimeters' 'grams' 'milligrams'],C,"{'text': array(['meters', 'centimeters', 'grams', 'milligrams'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24586840909654353, 'incorrect': 0.2514394713383488}, 'B': {'correct': 0.24612469076191212, 'incorrect': 0.2526764231211471}, 'C': {'correct': 0.2604047174049068, 'incorrect': 0.24778367395687545}, 'D': {'correct': 0.24760218273663753, 'incorrect': 0.24810043158362866}}","{'A': {'correct': 0.30404168, 'incorrect': 0.6959583}, 'B': {'correct': 0.39233688, 'incorrect': 0.6076632}, 'C': {'correct': 0.6619229, 'incorrect': 0.3380771}, 'D': {'correct': 0.62245935, 'incorrect': 0.37754068}}","{'correct': {'A': 0.013957923, 'B': 0.00063335383, 'C': 0.978526, 'D': 0.006882735}, 'incorrect': {'A': 0.28557137, 'B': 0.41227043, 'C': 0.14989886, 'D': 0.15225942}}","{'correct': {'A': 0.24711330126917833, 'B': 0.2407222100348417, 'C': 0.26282185899649857, 'D': 0.24934262969948137}, 'incorrect': {'A': 0.25297175711698894, 'B': 0.25282605787372164, 'C': 0.2468357167403828, 'D': 0.2473664682689066}}"
MCAS_2001_5_19,Plants use sunlight to make,['soil.' 'minerals.' 'food.' 'water.'],C,"{'text': array(['soil.', 'minerals.', 'food.', 'water.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24673732376353172, 'incorrect': 0.25083039866852047}, 'B': {'correct': 0.24654722062899376, 'incorrect': 0.24921607204816057}, 'C': {'correct': 0.2602240543348149, 'incorrect': 0.24703925710548166}, 'D': {'correct': 0.24649140127265967, 'incorrect': 0.25291427217783724}}","{'A': {'correct': 0.44552955, 'incorrect': 0.5544705}, 'B': {'correct': 0.5117166, 'incorrect': 0.4882834}, 'C': {'correct': 0.7217432, 'incorrect': 0.2782568}, 'D': {'correct': 0.4882834, 'incorrect': 0.5117166}}","{'correct': {'A': 0.02592564, 'B': 0.0010259491, 'C': 0.9709543, 'D': 0.0020940902}, 'incorrect': {'A': 0.26847842, 'B': 0.16866708, 'C': 0.11323773, 'D': 0.44961676}}","{'correct': {'A': 0.24989197844269123, 'B': 0.24281994340886567, 'C': 0.2630327436425909, 'D': 0.24425533450585216}, 'incorrect': {'A': 0.2517135448621927, 'B': 0.24968737413393355, 'C': 0.24606491923690782, 'D': 0.2525341617669659}}"
Mercury_SC_413631,Which of these correctly identifies the way materials are transported in a plant?,"['Xylem carries water from the roots to the leaves.'
 'Phloem carries minerals from the roots to the leaves.'
 'Xylem carries sugars from the flowers to the stems.'
 'Phloem carries water from the flowers to the stems.']",A,"{'text': array(['Xylem carries water from the roots to the leaves.',
       'Phloem carries minerals from the roots to the leaves.',
       'Xylem carries sugars from the flowers to the stems.',
       'Phloem carries water from the flowers to the stems.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,A,A,A,A,"{'A': {'correct': 0.2571262336904554, 'incorrect': 0.2503175944189441}, 'B': {'correct': 0.24812476999578775, 'incorrect': 0.2522190182380409}, 'C': {'correct': 0.2465263463886526, 'incorrect': 0.24860806761494675}, 'D': {'correct': 0.24822264992510418, 'incorrect': 0.24885531972806826}}","{'A': {'correct': 0.41489884, 'incorrect': 0.5851011}, 'B': {'correct': 0.38491216, 'incorrect': 0.61508787}, 'C': {'correct': 0.29746994, 'incorrect': 0.7025301}, 'D': {'correct': 0.32082132, 'incorrect': 0.6791787}}","{'correct': {'A': 0.77238524, 'B': 0.08333936, 'C': 0.017198049, 'D': 0.12707736}, 'incorrect': {'A': 0.29510784, 'B': 0.43444076, 'C': 0.1220619, 'D': 0.14838955}}","{'correct': {'A': 0.2558580243546764, 'B': 0.24962244713679255, 'C': 0.24464328870754398, 'D': 0.24987623980098708}, 'incorrect': {'A': 0.24999400109915182, 'B': 0.25138653424723734, 'C': 0.24920886992700536, 'D': 0.24941059472660543}}"
