id,question,choices,answerKey,choices_dic,subject,gen_init_answer,disc_answer,gen_answer,disc_init_answer,disc_final_policy_consensus,disc_init_policy,gen_init_policy,gen_final_policy_consensus
Mercury_7175875,An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?,"['Planetary density will decrease.' 'Planetary years will become longer.'
 'Planetary days will become shorter.'
 'Planetary gravity will become stronger.']",C,"{'text': array(['Planetary density will decrease.',
       'Planetary years will become longer.',
       'Planetary days will become shorter.',
       'Planetary gravity will become stronger.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24065761162821744, 'incorrect': 0.2556750058274776}, 'B': {'correct': 0.2419728772089344, 'incorrect': 0.26025278753078035}, 'C': {'correct': 0.2751302456142858, 'incorrect': 0.228162446768296}, 'D': {'correct': 0.24223926554856234, 'incorrect': 0.25590975987344605}}","{'A': {'correct': 0.00036259, 'incorrect': 0.99963737}, 'B': {'correct': 0.00059766934, 'incorrect': 0.9994023}, 'C': {'correct': 0.9999697, 'incorrect': 3.0241958e-05}, 'D': {'correct': 0.0006361913, 'incorrect': 0.99936384}}","{'correct': {'A': 2.596338e-06, 'B': 1.352436e-05, 'C': 0.99991953, 'D': 6.4269574e-05}, 'incorrect': {'A': 0.2009461, 'B': 0.5526669, 'C': 0.027408391, 'D': 0.21897864}}","{'correct': {'A': 0.23541969979334307, 'B': 0.23933944672760019, 'C': 0.2821725462368537, 'D': 0.24306830724220305}, 'incorrect': {'A': 0.2537182166860022, 'B': 0.25641879847083704, 'C': 0.23592469683110895, 'D': 0.25393828801205176}}"
Mercury_SC_409171,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?,"['buildings will be built faster' 'buildings will be made safer'
 'building designs will look nicer' 'building materials will be cheaper']",B,"{'text': array(['buildings will be built faster', 'buildings will be made safer',
       'building designs will look nicer',
       'building materials will be cheaper'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.2418542775746029, 'incorrect': 0.2535843234308708}, 'B': {'correct': 0.27834343664687056, 'incorrect': 0.23510051643748212}, 'C': {'correct': 0.23996424382305878, 'incorrect': 0.25872093976022725}, 'D': {'correct': 0.2398380419554678, 'incorrect': 0.2525942203714198}}","{'A': {'correct': 0.00019411318, 'incorrect': 0.99980587}, 'B': {'correct': 0.9991959, 'incorrect': 0.0008040859}, 'C': {'correct': 8.092758e-05, 'incorrect': 0.99991906}, 'D': {'correct': 7.141902e-05, 'incorrect': 0.9999286}}","{'correct': {'A': 5.81011e-07, 'B': 0.99990225, 'C': 8.886679e-06, 'D': 8.836081e-05}, 'incorrect': {'A': 0.1866827, 'B': 0.118200116, 'C': 0.5840785, 'D': 0.11103873}}","{'correct': {'A': 0.23285262842276858, 'B': 0.28332568090584626, 'C': 0.23916373412902922, 'D': 0.24465795654235595}, 'incorrect': {'A': 0.2530361416112343, 'B': 0.23917703684498304, 'C': 0.2560786876088957, 'D': 0.2517081339348869}}"
Mercury_SC_408547,The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?,"['Chemical energy is absorbed through the roots.'
 'Light energy is converted to chemical energy.'
 'Chlorophyll in the leaf captures light energy.'
 'Sunlight is converted into chlorophyll.']",C,"{'text': array(['Chemical energy is absorbed through the roots.',
       'Light energy is converted to chemical energy.',
       'Chlorophyll in the leaf captures light energy.',
       'Sunlight is converted into chlorophyll.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.23999522614239518, 'incorrect': 0.24916396827451848}, 'B': {'correct': 0.2507244004762335, 'incorrect': 0.24696296302640605}, 'C': {'correct': 0.26735594975640997, 'incorrect': 0.24653050128526258}, 'D': {'correct': 0.24192442362496136, 'incorrect': 0.2573425674138129}}","{'A': {'correct': 0.00023782207, 'incorrect': 0.99976224}, 'B': {'correct': 0.014957086, 'incorrect': 0.9850429}, 'C': {'correct': 0.055005286, 'incorrect': 0.9449947}, 'D': {'correct': 0.00048785715, 'incorrect': 0.9995122}}","{'correct': {'A': 6.865526e-07, 'B': 0.0026010585, 'C': 0.9973853, 'D': 1.2947974e-05}, 'incorrect': {'A': 0.17192827, 'B': 0.01290008, 'C': 0.0013307587, 'D': 0.81384087}}","{'correct': {'A': 0.23392200010821249, 'B': 0.2543302501325721, 'C': 0.2708644298686712, 'D': 0.24088331989054432}, 'incorrect': {'A': 0.2537811164828624, 'B': 0.2471099160866398, 'C': 0.24112569717704874, 'D': 0.257983270253449}}"
Mercury_407327,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?","['the control' 'the hypothesis statement'
 'the dependent (responding) variable'
 'the independent (manipulated) variable']",D,"{'text': array(['the control', 'the hypothesis statement',
       'the dependent (responding) variable',
       'the independent (manipulated) variable'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.23801027947764417, 'incorrect': 0.2536402996202666}, 'B': {'correct': 0.2461053553937275, 'incorrect': 0.2617578368516046}, 'C': {'correct': 0.2451913869909142, 'incorrect': 0.2539342618990562}, 'D': {'correct': 0.27069297813771415, 'incorrect': 0.2306676016290726}}","{'A': {'correct': 0.0006263342, 'incorrect': 0.99937373}, 'B': {'correct': 0.01798621, 'incorrect': 0.98201376}, 'C': {'correct': 0.011508149, 'incorrect': 0.9884919}, 'D': {'correct': 0.999956, 'incorrect': 4.4001186e-05}}","{'correct': {'A': 1.4579108e-06, 'B': 2.5031047e-06, 'C': 2.5615955e-05, 'D': 0.99997044}, 'incorrect': {'A': 0.05950706, 'B': 0.68368775, 'C': 0.08326535, 'D': 0.17353988}}","{'correct': {'A': 0.2356980445220211, 'B': 0.23741299301983312, 'C': 0.24283384160490135, 'D': 0.2840551208532444}, 'incorrect': {'A': 0.25084518305517334, 'B': 0.25702631199509796, 'C': 0.25155447021819594, 'D': 0.2405740347315328}}"
MCAS_2006_9_44,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,"['They have each lost kinetic energy.'
 'They have each gained the same amount of potential energy.'
 'They have each lost the same amount of potential energy.'
 'They have each gained one-half of their maximum kinetic energy.']",D,"{'text': array(['They have each lost kinetic energy.',
       'They have each gained the same amount of potential energy.',
       'They have each lost the same amount of potential energy.',
       'They have each gained one-half of their maximum kinetic energy.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.2431533797584706, 'incorrect': 0.24865393318086357}, 'B': {'correct': 0.2410080751714958, 'incorrect': 0.25736709082420534}, 'C': {'correct': 0.2654332491991925, 'incorrect': 0.24574627255924936}, 'D': {'correct': 0.2504052958708411, 'incorrect': 0.24823270343568163}}","{'A': {'correct': 0.011869121, 'incorrect': 0.9881309}, 'B': {'correct': 0.004070138, 'incorrect': 0.9959299}, 'C': {'correct': 0.4765797, 'incorrect': 0.5234204}, 'D': {'correct': 0.15817435, 'incorrect': 0.8418256}}","{'correct': {'A': 9.838009e-05, 'B': 0.008092967, 'C': 0.95760256, 'D': 0.034206014}, 'incorrect': {'A': 0.10040501, 'B': 0.7805458, 'C': 0.016263114, 'D': 0.10278606}}","{'correct': {'A': 0.23606982417127637, 'B': 0.24643673285898904, 'C': 0.265298677756305, 'D': 0.2521947652134295}, 'incorrect': {'A': 0.25160609240048915, 'B': 0.25715098799149083, 'C': 0.241407161111192, 'D': 0.24983575849682804}}"
Mercury_7270393,Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,"['a non-infectious, cell-cycle disease'
 'an infectious, cell-cycle disease' 'a non-infectious, chronic disease'
 'an infectious, chronic disease']",B,"{'text': array(['a non-infectious, cell-cycle disease',
       'an infectious, cell-cycle disease',
       'a non-infectious, chronic disease',
       'an infectious, chronic disease'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24530531127659277, 'incorrect': 0.24787460410960033}, 'B': {'correct': 0.25290709473261586, 'incorrect': 0.248006108367725}, 'C': {'correct': 0.2453255402192049, 'incorrect': 0.2538683813493399}, 'D': {'correct': 0.2564620537715865, 'incorrect': 0.2502509061733348}}","{'A': {'correct': 0.00019110434, 'incorrect': 0.99980897}, 'B': {'correct': 0.0003799845, 'incorrect': 0.99961996}, 'C': {'correct': 0.0001823546, 'incorrect': 0.99981767}, 'D': {'correct': 0.0006563728, 'incorrect': 0.9993436}}","{'correct': {'A': 1.8833909e-05, 'B': 0.41484442, 'C': 0.000112259724, 'D': 0.5850244}, 'incorrect': {'A': 0.08361968, 'B': 0.093649596, 'C': 0.5538555, 'D': 0.26887527}}","{'correct': {'A': 0.23627679964760917, 'B': 0.26111096501850434, 'C': 0.24048835553961762, 'D': 0.2621238797942689}, 'incorrect': {'A': 0.24797220753835925, 'B': 0.24825221015213203, 'C': 0.2528499188751445, 'D': 0.25092566343436423}}"
MCAS_2014_5_7,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?","['to repare for migration before winter'
 'to provide warmth during the cold winter months'
 'to store food that will be eaten over the winter months'
 'to protect the grasses and seeds from decay before winter']",C,"{'text': array(['to repare for migration before winter',
       'to provide warmth during the cold winter months',
       'to store food that will be eaten over the winter months',
       'to protect the grasses and seeds from decay before winter'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.23830982420398333, 'incorrect': 0.25660699383121266}, 'B': {'correct': 0.24163300707182614, 'incorrect': 0.2576455899415837}, 'C': {'correct': 0.2701779767381951, 'incorrect': 0.23165099940196718}, 'D': {'correct': 0.24987919198599545, 'incorrect': 0.2540964168252365}}","{'A': {'correct': 0.00085590064, 'incorrect': 0.9991441}, 'B': {'correct': 0.0032730647, 'incorrect': 0.9967269}, 'C': {'correct': 0.9997658, 'incorrect': 0.0002341358}, 'D': {'correct': 0.090092994, 'incorrect': 0.909907}}","{'correct': {'A': 1.5778405e-06, 'B': 1.0050472e-05, 'C': 0.99992156, 'D': 6.6829925e-05}, 'incorrect': {'A': 0.35866365, 'B': 0.43944386, 'C': 0.015820257, 'D': 0.18607225}}","{'correct': {'A': 0.23435486204077347, 'B': 0.23881916741138154, 'C': 0.28218031476919797, 'D': 0.24464565577864708}, 'incorrect': {'A': 0.2557066802913682, 'B': 0.25622470870593883, 'C': 0.23521783043847466, 'D': 0.2528507805642184}}"
Mercury_7086660,Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?,"['There was once more water in the area.' 'The area was once grassland.'
 'The climate in the area was once tropical.'
 'There are active faults in the area.']",C,"{'text': array(['There was once more water in the area.',
       'The area was once grassland.',
       'The climate in the area was once tropical.',
       'There are active faults in the area.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24435192605995587, 'incorrect': 0.2516073351959564}, 'B': {'correct': 0.24059752881974095, 'incorrect': 0.2568054127887954}, 'C': {'correct': 0.27426878037345004, 'incorrect': 0.23799700088745115}, 'D': {'correct': 0.24078176474685314, 'incorrect': 0.2535902511277972}}","{'A': {'correct': 0.0023596606, 'incorrect': 0.9976404}, 'B': {'correct': 0.00045831295, 'incorrect': 0.99954176}, 'C': {'correct': 0.9914225, 'incorrect': 0.008577485}, 'D': {'correct': 0.00047285447, 'incorrect': 0.9995272}}","{'correct': {'A': 1.0562229e-06, 'B': 1.2680315e-05, 'C': 0.99993086, 'D': 5.5404464e-05}, 'incorrect': {'A': 0.14245212, 'B': 0.5460748, 'C': 0.015734896, 'D': 0.29573822}}","{'correct': {'A': 0.23410055993007106, 'B': 0.23979112734950594, 'C': 0.28278644939764824, 'D': 0.24332186332277486}, 'incorrect': {'A': 0.2530467312763401, 'B': 0.2566293922210985, 'C': 0.23535268231114218, 'D': 0.2549711941914192}}"
Mercury_7168805,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,"['The chicken population would go down.'
 'Populations of mice and rats would increase.'
 'Another bird of prey would replace the hawk.'
 'The chickens would have a lower rate of disease.']",B,"{'text': array(['The chicken population would go down.',
       'Populations of mice and rats would increase.',
       'Another bird of prey would replace the hawk.',
       'The chickens would have a lower rate of disease.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24107556113808504, 'incorrect': 0.2576113715853996}, 'B': {'correct': 0.26227048897147226, 'incorrect': 0.24131238607242123}, 'C': {'correct': 0.24890498672568537, 'incorrect': 0.24740891079989352}, 'D': {'correct': 0.2477489631647574, 'incorrect': 0.25366733154228566}}","{'A': {'correct': 0.0460339, 'incorrect': 0.9539661}, 'B': {'correct': 0.99979013, 'incorrect': 0.00020988309}, 'C': {'correct': 0.97482115, 'incorrect': 0.02517884}, 'D': {'correct': 0.6334103, 'incorrect': 0.36658975}}","{'correct': {'A': 0.00017112409, 'B': 0.99875426, 'C': 0.00041860185, 'D': 0.0006559857}, 'incorrect': {'A': 0.1911649, 'B': 0.57970035, 'C': 0.1345013, 'D': 0.094633475}}","{'correct': {'A': 0.23546403194345936, 'B': 0.2696924806685639, 'C': 0.24897993303106186, 'D': 0.2458635543569148}, 'incorrect': {'A': 0.25792646193020363, 'B': 0.2482331524225533, 'C': 0.2451648681532232, 'D': 0.24867551749401984}}"
MCAS_2003_8_11,Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?,['the atom' 'the electron' 'the nucleus' 'the proton'],A,"{'text': array(['the atom', 'the electron', 'the nucleus', 'the proton'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,A,A,A,A,"{'A': {'correct': 0.277319557051027, 'incorrect': 0.2367018654985123}, 'B': {'correct': 0.24089731364747963, 'incorrect': 0.2628716267566079}, 'C': {'correct': 0.2410436142650692, 'incorrect': 0.2502420203291496}, 'D': {'correct': 0.2407395150364241, 'incorrect': 0.2501844874157303}}","{'A': {'correct': 0.9952448, 'incorrect': 0.0047552}, 'B': {'correct': 0.00015356239, 'incorrect': 0.99984646}, 'C': {'correct': 0.00014425987, 'incorrect': 0.99985576}, 'D': {'correct': 0.00012931562, 'incorrect': 0.99987066}}","{'correct': {'A': 0.9945299, 'B': 9.8331635e-05, 'C': 0.003221504, 'D': 0.0021501796}, 'incorrect': {'A': 0.0017359391, 'B': 0.97706807, 'C': 0.012038045, 'D': 0.009158061}}","{'correct': {'A': 0.27383482400600634, 'B': 0.23683459909254193, 'C': 0.24515959316677952, 'D': 0.24417098373467225}, 'incorrect': {'A': 0.2344893194410502, 'B': 0.26313762368471505, 'C': 0.25152719123680617, 'D': 0.25084586563742856}}"
