id,question,choices,answerKey,choices_dic,subject,gen_init_answer,disc_answer,gen_answer,disc_init_answer,disc_final_policy_consensus,disc_init_policy,gen_init_policy,gen_final_policy_consensus
Mercury_417466,Which statement best explains why photosynthesis is the foundation of most food webs?,"['Sunlight is the source of energy for nearly all ecosystems.'
 'Most ecosystems are found on land instead of in water.'
 'Carbon dioxide is more available than other gases.'
 'The producers in all ecosystems are plants.']",A,"{'text': array(['Sunlight is the source of energy for nearly all ecosystems.',
       'Most ecosystems are found on land instead of in water.',
       'Carbon dioxide is more available than other gases.',
       'The producers in all ecosystems are plants.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,A,"{'A': {'correct': 0.25249650395892176, 'incorrect': 0.2473721032968056}, 'B': {'correct': 0.2421988251372934, 'incorrect': 0.25506030037454563}, 'C': {'correct': 0.24357474627105222, 'incorrect': 0.2493805022350176}, 'D': {'correct': 0.2617299246327327, 'incorrect': 0.24818709409363127}}","{'A': {'correct': 0.0433658, 'incorrect': 0.9566342}, 'B': {'correct': 0.0012065897, 'incorrect': 0.99879336}, 'C': {'correct': 0.0021157034, 'incorrect': 0.99788433}, 'D': {'correct': 0.032100707, 'incorrect': 0.9678993}}","{'correct': {'A': 0.10848808, 'B': 0.0050740554, 'C': 0.0060255895, 'D': 0.8804123}, 'incorrect': {'A': 0.051143214, 'B': 0.64282966, 'C': 0.19605196, 'D': 0.10997519}}","{'correct': {'A': 0.2527082994783572, 'B': 0.24433027898884557, 'C': 0.24480051925220436, 'D': 0.25816090228059285}, 'incorrect': {'A': 0.2467605244697197, 'B': 0.2537984119812641, 'C': 0.2506392258973053, 'D': 0.24880183765171096}}"
Mercury_7081673,Which piece of safety equipment is used to keep mold spores from entering the respiratory system?,['safety goggles' 'breathing mask' 'rubber gloves' 'lead apron'],B,"{'text': array(['safety goggles', 'breathing mask', 'rubber gloves', 'lead apron'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24625232623443938, 'incorrect': 0.25202238356815976}, 'B': {'correct': 0.26277040379681144, 'incorrect': 0.24834308859571802}, 'C': {'correct': 0.24539961032090316, 'incorrect': 0.24821962408681958}, 'D': {'correct': 0.24557765964784603, 'incorrect': 0.2514149037493026}}","{'A': {'correct': 0.0017007225, 'incorrect': 0.9982993}, 'B': {'correct': 0.007121429, 'incorrect': 0.9928786}, 'C': {'correct': 0.0012448432, 'incorrect': 0.9987551}, 'D': {'correct': 0.0012843083, 'incorrect': 0.99871576}}","{'correct': {'A': 0.0035743597, 'B': 0.99107087, 'C': 0.0014900147, 'D': 0.003864804}, 'incorrect': {'A': 0.40862313, 'B': 0.12078877, 'C': 0.10997943, 'D': 0.36060864}}","{'correct': {'A': 0.24681098651767402, 'B': 0.26156284965372767, 'C': 0.24465081205040495, 'D': 0.24697535177819335}, 'incorrect': {'A': 0.2517228647869558, 'B': 0.24852103867338446, 'C': 0.2483588513945606, 'D': 0.2513972451450992}}"
Mercury_7239733,Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?,['brain cells' 'bone cells' 'muscle cells' 'ovary cells'],D,"{'text': array(['brain cells', 'bone cells', 'muscle cells', 'ovary cells'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24628164786458542, 'incorrect': 0.2561869494739002}, 'B': {'correct': 0.24495922836072537, 'incorrect': 0.2479347654644982}, 'C': {'correct': 0.2458843779331005, 'incorrect': 0.24793444835920808}, 'D': {'correct': 0.26287474584158865, 'incorrect': 0.2479438367023936}}","{'A': {'correct': 0.0006263342, 'incorrect': 0.99937373}, 'B': {'correct': 0.00039204178, 'incorrect': 0.999608}, 'C': {'correct': 0.0005033356, 'incorrect': 0.9994967}, 'D': {'correct': 0.0035936027, 'incorrect': 0.9964064}}","{'correct': {'A': 0.015200181, 'B': 0.006046214, 'C': 0.023542501, 'D': 0.95521104}, 'incorrect': {'A': 0.735197, 'B': 0.08780676, 'C': 0.08780676, 'D': 0.089189515}}","{'correct': {'A': 0.2475724681605945, 'B': 0.24527970019481118, 'C': 0.24863239441005347, 'D': 0.25851543723454085}, 'incorrect': {'A': 0.25416271902263354, 'B': 0.24861310411525633, 'C': 0.24861172513219254, 'D': 0.24861245172991756}}"
NYSEDREGENTS_2015_4_8,Which characteristic describes the texture of a kitten's fur?,['gray' 'warm' 'long' 'soft'],D,"{'text': array(['gray', 'warm', 'long', 'soft'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24412373719723457, 'incorrect': 0.25963481298615754}, 'B': {'correct': 0.24362477748915323, 'incorrect': 0.24693663948760067}, 'C': {'correct': 0.24569272102513584, 'incorrect': 0.24686254097039548}, 'D': {'correct': 0.26655876428847647, 'incorrect': 0.2465660065558463}}","{'A': {'correct': 0.0029349516, 'incorrect': 0.997065}, 'B': {'correct': 0.0024726235, 'incorrect': 0.9975274}, 'C': {'correct': 0.006003596, 'incorrect': 0.9939964}, 'D': {'correct': 0.11596072, 'incorrect': 0.8840393}}","{'correct': {'A': 0.0019549439, 'B': 0.000777623, 'C': 0.00028163637, 'D': 0.99698573}, 'incorrect': {'A': 0.9853152, 'B': 0.006044879, 'C': 0.0037827892, 'D': 0.0048571974}}","{'correct': {'A': 0.2472264367622254, 'B': 0.24496003668821556, 'C': 0.24261733978417482, 'D': 0.2651961867653842}, 'incorrect': {'A': 0.2606895589574888, 'B': 0.24747688274463156, 'C': 0.24628623018191648, 'D': 0.2455473281159631}}"
Mercury_7037258,Which best describes the structure of an atom?,"['a lightweight core surrounded by neutral particles'
 'a massive core surrounded by negatively-charged particles'
 'a network of interacting positive and negative particles'
 'overlapping layers of neutral, positive, and negative particles']",B,"{'text': array(['a lightweight core surrounded by neutral particles',
       'a massive core surrounded by negatively-charged particles',
       'a network of interacting positive and negative particles',
       'overlapping layers of neutral, positive, and negative particles'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24784859442840554, 'incorrect': 0.2522772964570636}, 'B': {'correct': 0.26156636516807585, 'incorrect': 0.24945311106053944}, 'C': {'correct': 0.24625963308285928, 'incorrect': 0.2486821367313148}, 'D': {'correct': 0.2443254073206592, 'incorrect': 0.24958745575108218}}","{'A': {'correct': 0.030214587, 'incorrect': 0.9697854}, 'B': {'correct': 0.05340333, 'incorrect': 0.9465967}, 'C': {'correct': 0.016403032, 'incorrect': 0.983597}, 'D': {'correct': 0.007815888, 'incorrect': 0.9921841}}","{'correct': {'A': 0.017385835, 'B': 0.9641827, 'C': 0.012328402, 'D': 0.0061030015}, 'incorrect': {'A': 0.430102, 'B': 0.21291593, 'C': 0.14406613, 'D': 0.21291593}}","{'correct': {'A': 0.24829678901162006, 'B': 0.25911466481197415, 'C': 0.24723405978686436, 'D': 0.24535448638954147}, 'incorrect': {'A': 0.2515820945596512, 'B': 0.24946067686765755, 'C': 0.24892893040312258, 'D': 0.2500282981695686}}"
CSZ20679,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the",['meter.' 'kilometer.' 'light-year.' 'astronomical unit.'],C,"{'text': array(['meter.', 'kilometer.', 'light-year.', 'astronomical unit.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24395319970865617, 'incorrect': 0.2528875876465436}, 'B': {'correct': 0.24294732970368768, 'incorrect': 0.2508869802833086}, 'C': {'correct': 0.2633011538582732, 'incorrect': 0.2439345590725797}, 'D': {'correct': 0.24979831672938296, 'incorrect': 0.25229087299756814}}","{'A': {'correct': 0.07585818, 'incorrect': 0.9241418}, 'B': {'correct': 0.05340333, 'incorrect': 0.9465967}, 'C': {'correct': 0.91730267, 'incorrect': 0.08269735}, 'D': {'correct': 0.6859495, 'incorrect': 0.31405056}}","{'correct': {'A': 0.0036540816, 'B': 0.00076593715, 'C': 0.9820034, 'D': 0.013576561}, 'incorrect': {'A': 0.296559, 'B': 0.1357746, 'C': 0.08630359, 'D': 0.4813628}}","{'correct': {'A': 0.24195936115051006, 'B': 0.23795157277205645, 'C': 0.2672646540614009, 'D': 0.25282441201603256}, 'incorrect': {'A': 0.2554613693053599, 'B': 0.25371063588810155, 'C': 0.24179078738396254, 'D': 0.24903720742257607}}"
Mercury_182158,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?,"['wash hands' 'turn off all equipment' 'put away all glassware'
 'wash instruments and table tops']",A,"{'text': array(['wash hands', 'turn off all equipment', 'put away all glassware',
       'wash instruments and table tops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24660190139047541, 'incorrect': 0.24944688296730547}, 'B': {'correct': 0.2612461013940571, 'incorrect': 0.2509188799040614}, 'C': {'correct': 0.24559440907393043, 'incorrect': 0.24882637094298704}, 'D': {'correct': 0.2465575881415371, 'incorrect': 0.250807866185646}}","{'A': {'correct': 0.1480472, 'incorrect': 0.85195273}, 'B': {'correct': 0.5544705, 'incorrect': 0.44552955}, 'C': {'correct': 0.09534946, 'incorrect': 0.9046505}, 'D': {'correct': 0.09534946, 'incorrect': 0.9046505}}","{'correct': {'A': 0.014834353, 'B': 0.87574124, 'C': 0.019961804, 'D': 0.0894626}, 'incorrect': {'A': 0.17802191, 'B': 0.43377745, 'C': 0.11674962, 'D': 0.271451}}","{'correct': {'A': 0.24510923297956075, 'B': 0.2608769135219587, 'C': 0.2451584586900446, 'D': 0.24885539480843596}, 'incorrect': {'A': 0.25035734909361296, 'B': 0.24759218725291646, 'C': 0.24994533236904182, 'D': 0.2521051312844288}}"
Mercury_7216668,Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?,['meters' 'centimeters' 'grams' 'milligrams'],C,"{'text': array(['meters', 'centimeters', 'grams', 'milligrams'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24119919339816612, 'incorrect': 0.25956361923983323}, 'B': {'correct': 0.24077864910263225, 'incorrect': 0.24725806589879332}, 'C': {'correct': 0.2668592619828625, 'incorrect': 0.24614170843339422}, 'D': {'correct': 0.2511628955163391, 'incorrect': 0.2470366064279792}}","{'A': {'correct': 0.0021827165, 'incorrect': 0.9978173}, 'B': {'correct': 0.0018386653, 'incorrect': 0.9981614}, 'C': {'correct': 0.3276683, 'incorrect': 0.6723317}, 'D': {'correct': 0.12252322, 'incorrect': 0.8774768}}","{'correct': {'A': 0.0022359872, 'B': 0.0020043259, 'C': 0.99072087, 'D': 0.0050388747}, 'incorrect': {'A': 0.9617391, 'B': 0.010518317, 'C': 0.009282383, 'D': 0.018460222}}","{'correct': {'A': 0.2440689311400175, 'B': 0.2437875696149518, 'C': 0.26431762699434275, 'D': 0.24782587225068792}, 'incorrect': {'A': 0.25991330158560255, 'B': 0.24816661019541492, 'C': 0.2438610168507395, 'D': 0.24805907136824307}}"
MCAS_2001_5_19,Plants use sunlight to make,['soil.' 'minerals.' 'food.' 'water.'],C,"{'text': array(['soil.', 'minerals.', 'food.', 'water.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24168005401113113, 'incorrect': 0.25872537648305083}, 'B': {'correct': 0.24380632947874664, 'incorrect': 0.24735748025332463}, 'C': {'correct': 0.2696213195141836, 'incorrect': 0.24624204729767776}, 'D': {'correct': 0.2448922969959386, 'incorrect': 0.2476750959659468}}","{'A': {'correct': 0.0008040859, 'incorrect': 0.9991959}, 'B': {'correct': 0.0019877742, 'incorrect': 0.9980122}, 'C': {'correct': 0.26284185, 'incorrect': 0.7371582}, 'D': {'correct': 0.0029349516, 'incorrect': 0.997065}}","{'correct': {'A': 0.0008145959, 'B': 0.00044288812, 'C': 0.99656254, 'D': 0.0021799717}, 'incorrect': {'A': 0.91166896, 'B': 0.027530018, 'C': 0.010950685, 'D': 0.049850423}}","{'correct': {'A': 0.24417506054135732, 'B': 0.24278767018458494, 'C': 0.26634417931801707, 'D': 0.2466930899560406}, 'incorrect': {'A': 0.2578645097690286, 'B': 0.24870840345847423, 'C': 0.24325461758470093, 'D': 0.25017246918779634}}"
Mercury_SC_413631,Which of these correctly identifies the way materials are transported in a plant?,"['Xylem carries water from the roots to the leaves.'
 'Phloem carries minerals from the roots to the leaves.'
 'Xylem carries sugars from the flowers to the stems.'
 'Phloem carries water from the flowers to the stems.']",A,"{'text': array(['Xylem carries water from the roots to the leaves.',
       'Phloem carries minerals from the roots to the leaves.',
       'Xylem carries sugars from the flowers to the stems.',
       'Phloem carries water from the flowers to the stems.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,A,"{'A': {'correct': 0.2533220700984848, 'incorrect': 0.25139006749293574}, 'B': {'correct': 0.25677147436137354, 'incorrect': 0.24915828429322467}, 'C': {'correct': 0.24638827126835125, 'incorrect': 0.25047436510322696}, 'D': {'correct': 0.24351818427179042, 'incorrect': 0.24897728311061262}}","{'A': {'correct': 0.07369626, 'incorrect': 0.9263037}, 'B': {'correct': 0.013222822, 'incorrect': 0.98677725}, 'C': {'correct': 0.013636835, 'incorrect': 0.9863631}, 'D': {'correct': 0.004264634, 'incorrect': 0.9957353}}","{'correct': {'A': 0.19373275, 'B': 0.80299985, 'C': 0.0020217826, 'D': 0.0012455841}, 'incorrect': {'A': 0.3706676, 'B': 0.18064895, 'C': 0.2842007, 'D': 0.16448274}}","{'correct': {'A': 0.2557160841339179, 'B': 0.25867920520341847, 'C': 0.2434853699117057, 'D': 0.24211934075095803}, 'incorrect': {'A': 0.25056847499735796, 'B': 0.24946660261387457, 'C': 0.25062495417892106, 'D': 0.2493399682098464}}"
