id,question,choices,answerKey,choices_dic,subject,gen_init_answer,disc_answer,gen_answer,disc_init_answer,disc_final_policy_consensus,disc_init_policy,gen_init_policy,gen_final_policy_consensus
Mercury_417466,Which statement best explains why photosynthesis is the foundation of most food webs?,"['Sunlight is the source of energy for nearly all ecosystems.'
 'Most ecosystems are found on land instead of in water.'
 'Carbon dioxide is more available than other gases.'
 'The producers in all ecosystems are plants.']",A,"{'text': array(['Sunlight is the source of energy for nearly all ecosystems.',
       'Most ecosystems are found on land instead of in water.',
       'Carbon dioxide is more available than other gases.',
       'The producers in all ecosystems are plants.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24810793789666974, 'incorrect': 0.24664597114272538}, 'B': {'correct': 0.24455017179501704, 'incorrect': 0.25895817709209945}, 'C': {'correct': 0.24402008977851128, 'incorrect': 0.2471110622888549}, 'D': {'correct': 0.26332180052980203, 'incorrect': 0.24728478947632032}}","{'A': {'correct': 0.0010817152, 'incorrect': 0.9989183}, 'B': {'correct': 0.00027372167, 'incorrect': 0.99972624}, 'C': {'correct': 0.00022341634, 'incorrect': 0.99977654}, 'D': {'correct': 0.0023231625, 'incorrect': 0.9976769}}","{'correct': {'A': 0.0005505879, 'B': 4.1921183e-05, 'C': 2.5130254e-05, 'D': 0.9993824}, 'incorrect': {'A': 0.0014092566, 'B': 0.94286364, 'C': 0.021915693, 'D': 0.033811357}}","{'correct': {'A': 0.24857258114334377, 'B': 0.24219768014847406, 'C': 0.24095730140665106, 'D': 0.26827243730153116}, 'incorrect': {'A': 0.24225828352702392, 'B': 0.25878690510536, 'C': 0.24895237176144017, 'D': 0.25000243960617585}}"
Mercury_7081673,Which piece of safety equipment is used to keep mold spores from entering the respiratory system?,['safety goggles' 'breathing mask' 'rubber gloves' 'lead apron'],B,"{'text': array(['safety goggles', 'breathing mask', 'rubber gloves', 'lead apron'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24021383381291112, 'incorrect': 0.25279671375433616}, 'B': {'correct': 0.27846775765229015, 'incorrect': 0.23664337484249026}, 'C': {'correct': 0.24043607545916174, 'incorrect': 0.2530488576534065}, 'D': {'correct': 0.24088233307563708, 'incorrect': 0.25751105374976707}}","{'A': {'correct': 9.915273e-05, 'incorrect': 0.9999008}, 'B': {'correct': 0.997285, 'incorrect': 0.0027149855}, 'C': {'correct': 0.000103910665, 'incorrect': 0.99989605}, 'D': {'correct': 0.000115919334, 'incorrect': 0.999884}}","{'correct': {'A': 1.0727627e-07, 'B': 0.9999932, 'C': 5.002514e-07, 'D': 6.253129e-06}, 'incorrect': {'A': 0.18211956, 'B': 0.06831946, 'C': 0.201588, 'D': 0.547973}}","{'correct': {'A': 0.2328850878389681, 'B': 0.288181064835724, 'C': 0.23646749370076195, 'D': 0.2424663536245459}, 'incorrect': {'A': 0.25295188519984774, 'B': 0.2379547767662304, 'C': 0.25321437389552137, 'D': 0.2558789641384005}}"
Mercury_7239733,Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?,['brain cells' 'bone cells' 'muscle cells' 'ovary cells'],D,"{'text': array(['brain cells', 'bone cells', 'muscle cells', 'ovary cells'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.2449527856575303, 'incorrect': 0.24883672263505327}, 'B': {'correct': 0.24544949178730166, 'incorrect': 0.254367840929424}, 'C': {'correct': 0.24594877071728033, 'incorrect': 0.24758291155876586}, 'D': {'correct': 0.2636489518378878, 'incorrect': 0.24921252487675682}}","{'A': {'correct': 0.0001823546, 'incorrect': 0.99981767}, 'B': {'correct': 0.00020662982, 'incorrect': 0.99979335}, 'C': {'correct': 0.00025315638, 'incorrect': 0.99974686}, 'D': {'correct': 0.001133569, 'incorrect': 0.99886644}}","{'correct': {'A': 1.4617942e-08, 'B': 1.9587263e-07, 'C': 2.093214e-07, 'D': 0.9999995}, 'incorrect': {'A': 0.15776895, 'B': 0.5930925, 'C': 0.06178321, 'D': 0.18735525}}","{'correct': {'A': 0.23522329714042167, 'B': 0.24135802740650283, 'C': 0.24153275250032333, 'D': 0.2818859229527522}, 'incorrect': {'A': 0.24961213805006327, 'B': 0.25308405808733064, 'C': 0.24726645720115772, 'D': 0.25003734666144833}}"
NYSEDREGENTS_2015_4_8,Which characteristic describes the texture of a kitten's fur?,['gray' 'warm' 'long' 'soft'],D,"{'text': array(['gray', 'warm', 'long', 'soft'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,D,D,D,D,"{'A': {'correct': 0.24054875558657193, 'incorrect': 0.2545568552218796}, 'B': {'correct': 0.23949047988799044, 'incorrect': 0.2592700382321471}, 'C': {'correct': 0.24443819564331917, 'incorrect': 0.2561474077480934}, 'D': {'correct': 0.2755225688821185, 'incorrect': 0.2300256987978798}}","{'A': {'correct': 0.00033535014, 'incorrect': 0.99966466}, 'B': {'correct': 0.00021318757, 'incorrect': 0.9997868}, 'C': {'correct': 0.0016743994, 'incorrect': 0.99832565}, 'D': {'correct': 0.99993074, 'incorrect': 6.922183e-05}}","{'correct': {'A': 1.304156e-07, 'B': 1.6910028e-07, 'C': 1.8772613e-07, 'D': 0.9999995}, 'incorrect': {'A': 0.15208614, 'B': 0.5145008, 'C': 0.27431875, 'D': 0.059094306}}","{'correct': {'A': 0.2357775484572184, 'B': 0.23635079781005128, 'C': 0.23676313400694232, 'D': 0.29110851972578794}, 'incorrect': {'A': 0.25261086275809663, 'B': 0.25583219618477965, 'C': 0.2541246856543589, 'D': 0.23743225540276472}}"
Mercury_7037258,Which best describes the structure of an atom?,"['a lightweight core surrounded by neutral particles'
 'a massive core surrounded by negatively-charged particles'
 'a network of interacting positive and negative particles'
 'overlapping layers of neutral, positive, and negative particles']",B,"{'text': array(['a lightweight core surrounded by neutral particles',
       'a massive core surrounded by negatively-charged particles',
       'a network of interacting positive and negative particles',
       'overlapping layers of neutral, positive, and negative particles'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,B,"{'A': {'correct': 0.24440045391276294, 'incorrect': 0.24963747935263744}, 'B': {'correct': 0.2614209215697145, 'incorrect': 0.24980521504638273}, 'C': {'correct': 0.24781465406443717, 'incorrect': 0.24776903083210192}, 'D': {'correct': 0.24636397045308547, 'incorrect': 0.2527882747688779}}","{'A': {'correct': 0.00020342699, 'incorrect': 0.99979657}, 'B': {'correct': 0.00079162966, 'incorrect': 0.9992084}, 'C': {'correct': 0.0006462033, 'incorrect': 0.9993538}, 'D': {'correct': 0.00039204178, 'incorrect': 0.999608}}","{'correct': {'A': 9.4549694e-07, 'B': 0.9980756, 'C': 0.0017959184, 'D': 0.00012757961}, 'incorrect': {'A': 0.22075671, 'B': 0.23407814, 'C': 0.075994045, 'D': 0.46917108}}","{'correct': {'A': 0.23376899665189385, 'B': 0.2687536561900638, 'C': 0.2520178654469021, 'D': 0.24545948171114026}, 'incorrect': {'A': 0.2501436580602076, 'B': 0.2502868492445894, 'C': 0.24745299783677796, 'D': 0.252116494858425}}"
CSZ20679,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the",['meter.' 'kilometer.' 'light-year.' 'astronomical unit.'],C,"{'text': array(['meter.', 'kilometer.', 'light-year.', 'astronomical unit.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24082374263505454, 'incorrect': 0.25201815256206983}, 'B': {'correct': 0.24177458584575257, 'incorrect': 0.2569417041352565}, 'C': {'correct': 0.276771654699012, 'incorrect': 0.23339600767519572}, 'D': {'correct': 0.24063001682018095, 'incorrect': 0.257644135627478}}","{'A': {'correct': 0.00023050672, 'incorrect': 0.9997695}, 'B': {'correct': 0.00031999827, 'incorrect': 0.99968004}, 'C': {'correct': 0.9993333, 'incorrect': 0.00066670234}, 'D': {'correct': 0.00017952798, 'incorrect': 0.99982053}}","{'correct': {'A': 2.3683096e-07, 'B': 2.3825828e-06, 'C': 0.99994016, 'D': 5.7163725e-05}, 'incorrect': {'A': 0.0592376, 'B': 0.4368559, 'C': 0.012736185, 'D': 0.4911703}}","{'correct': {'A': 0.2322051753371114, 'B': 0.23760124173047298, 'C': 0.2850397680410491, 'D': 0.2451538148913665}, 'incorrect': {'A': 0.2514041530539877, 'B': 0.2565853422927527, 'C': 0.23510248450458412, 'D': 0.25690802014867553}}"
Mercury_182158,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?,"['wash hands' 'turn off all equipment' 'put away all glassware'
 'wash instruments and table tops']",A,"{'text': array(['wash hands', 'turn off all equipment', 'put away all glassware',
       'wash instruments and table tops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,B,B,B,A,"{'A': {'correct': 0.2515856978767929, 'incorrect': 0.2394359659711463}, 'B': {'correct': 0.26067117588742866, 'incorrect': 0.2517503241151592}, 'C': {'correct': 0.24129022807528708, 'incorrect': 0.25060596235346744}, 'D': {'correct': 0.24645289816049135, 'incorrect': 0.258207747560227}}","{'A': {'correct': 0.990732, 'incorrect': 0.009268014}, 'B': {'correct': 0.25683197, 'incorrect': 0.74316794}, 'C': {'correct': 0.017712297, 'incorrect': 0.98228765}, 'D': {'correct': 0.14414886, 'incorrect': 0.8558512}}","{'correct': {'A': 0.006844226, 'B': 0.9845211, 'C': 0.0034684846, 'D': 0.0051662927}, 'incorrect': {'A': 0.08818759, 'B': 0.19565272, 'C': 0.049083788, 'D': 0.6670759}}","{'correct': {'A': 0.2554172614178175, 'B': 0.2590243789693733, 'C': 0.24146056526277118, 'D': 0.24409779435003803}, 'incorrect': {'A': 0.2404981538062039, 'B': 0.2517643279716701, 'C': 0.2512613900520191, 'D': 0.25647612817010695}}"
Mercury_7216668,Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?,['meters' 'centimeters' 'grams' 'milligrams'],C,"{'text': array(['meters', 'centimeters', 'grams', 'milligrams'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.2370634579885942, 'incorrect': 0.2521692068252178}, 'B': {'correct': 0.23824960629536393, 'incorrect': 0.2631080300969606}, 'C': {'correct': 0.2715002107312986, 'incorrect': 0.23342492062514442}, 'D': {'correct': 0.2531867249847433, 'incorrect': 0.25129784245267706}}","{'A': {'correct': 0.00027372167, 'incorrect': 0.99972624}, 'B': {'correct': 0.0004305571, 'incorrect': 0.9995695}, 'C': {'correct': 0.9993436, 'incorrect': 0.0006563728}, 'D': {'correct': 0.12592277, 'incorrect': 0.8740772}}","{'correct': {'A': 4.749639e-07, 'B': 2.6246728e-06, 'C': 0.97068477, 'D': 0.02931214}, 'incorrect': {'A': 0.061310817, 'B': 0.90095586, 'C': 0.01020612, 'D': 0.02752721}}","{'correct': {'A': 0.22933879226247467, 'B': 0.23328896543807975, 'C': 0.27945388887094486, 'D': 0.2579183534285007}, 'incorrect': {'A': 0.2533560282410178, 'B': 0.260547881108876, 'C': 0.23632546567110901, 'D': 0.24977062497899719}}"
MCAS_2001_5_19,Plants use sunlight to make,['soil.' 'minerals.' 'food.' 'water.'],C,"{'text': array(['soil.', 'minerals.', 'food.', 'water.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,C,C,C,C,"{'A': {'correct': 0.24002254178678809, 'incorrect': 0.2519277788389044}, 'B': {'correct': 0.23956829969575077, 'incorrect': 0.2584813659878635}, 'C': {'correct': 0.2789403324323736, 'incorrect': 0.23165633546403583}, 'D': {'correct': 0.24146882608508743, 'incorrect': 0.2579345197091964}}","{'A': {'correct': 7.368593e-05, 'incorrect': 0.9999263}, 'B': {'correct': 5.8291265e-05, 'incorrect': 0.9999417}, 'C': {'correct': 0.99971753, 'incorrect': 0.00028240806}, 'D': {'correct': 0.00012339458, 'incorrect': 0.9998766}}","{'correct': {'A': 4.5076678e-07, 'B': 1.8629105e-06, 'C': 0.9999889, 'D': 8.766769e-06}, 'incorrect': {'A': 0.016206855, 'B': 0.5121202, 'C': 0.0017249534, 'D': 0.46994793}}","{'correct': {'A': 0.23450412078223437, 'B': 0.23780611861991696, 'C': 0.28615088653875786, 'D': 0.24153887405909083}, 'incorrect': {'A': 0.25007755516268343, 'B': 0.2589884607614259, 'C': 0.2321846750218873, 'D': 0.25874930905400334}}"
Mercury_SC_413631,Which of these correctly identifies the way materials are transported in a plant?,"['Xylem carries water from the roots to the leaves.'
 'Phloem carries minerals from the roots to the leaves.'
 'Xylem carries sugars from the flowers to the stems.'
 'Phloem carries water from the flowers to the stems.']",A,"{'text': array(['Xylem carries water from the roots to the leaves.',
       'Phloem carries minerals from the roots to the leaves.',
       'Xylem carries sugars from the flowers to the stems.',
       'Phloem carries water from the flowers to the stems.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",science,A,A,A,A,"{'A': {'correct': 0.2759940878696856, 'incorrect': 0.2342010283921424}, 'B': {'correct': 0.24156111799028016, 'incorrect': 0.2609734250910122}, 'C': {'correct': 0.2408059192650877, 'incorrect': 0.2531543577969152}, 'D': {'correct': 0.24163887487494654, 'incorrect': 0.25167118871993027}}","{'A': {'correct': 0.9988121, 'incorrect': 0.0011879054}, 'B': {'correct': 0.00031503866, 'incorrect': 0.99968493}, 'C': {'correct': 0.0002415663, 'incorrect': 0.9997584}, 'D': {'correct': 0.00031503866, 'incorrect': 0.99968493}}","{'correct': {'A': 0.99747604, 'B': 0.00069603877, 'C': 0.00014833998, 'D': 0.0016795223}, 'incorrect': {'A': 0.0023277462, 'B': 0.772466, 'C': 0.16836776, 'D': 0.056838453}}","{'correct': {'A': 0.27474101457948075, 'B': 0.24227921084773546, 'C': 0.23857699794122875, 'D': 0.24440277663155507}, 'incorrect': {'A': 0.23243773796373918, 'B': 0.259539634263361, 'C': 0.25540073137314195, 'D': 0.25262189639975785}}"
